p1_seq,p2_seq,p1_tricks,p2_tricks,draws_tricks,p1_cards,p2_cards,draws_cards,runs
111,101,224482,353804,9619,1434920,2275817,1227,77665
000,001,273270,289427,11895,1850234,1866208,1525,77932
011,100,398023,397924,10702,1931606,1930941,2240,77764
000,110,203768,501285,1901,941183,2911508,214,78593
101,101,401115,0,56,3527133,0,56,78484
110,011,151696,467500,3071,578604,3183518,36,78258
110,000,499799,204209,1952,2901495,943369,206,78404
011,010,398398,399005,10602,1931528,1935827,2206,77854
001,000,290121,273596,12066,1869815,1854034,1585,78123
100,100,500534,0,0,3715890,0,0,78615
110,101,439426,228869,6675,2640570,1149692,1059,77770
111,011,66262,497962,291,198786,3525694,0,78083
100,010,337138,333460,10443,2013855,1789618,1686,78063
010,000,358026,227098,9844,2305169,1448711,1321,78662
000,010,224825,353899,9562,1439460,2279276,1232,77834
100,111,430633,276285,9276,2402809,1466202,1614,78933
001,101,497085,301739,7319,2604545,1268058,1072,77968
001,110,401038,401857,14312,1945117,1947661,3493,78372
100,110,247939,495623,5076,1117706,2727394,658,77852
101,110,229823,443334,6365,1154691,2664275,1002,78343
010,110,304373,500639,7444,1279743,2625410,1115,78628
110,010,495275,300468,7471,2595175,1263548,1098,77680
111,111,274101,0,124,3237879,0,124,78129
011,111,498779,66120,317,3533728,198360,1,78258
010,011,401297,402303,10822,1948033,1952829,2240,78546
000,011,273002,425951,9132,1447485,2374222,1541,77986
011,011,499274,0,0,3700917,0,0,78211
010,010,398121,0,45,3499827,0,45,77881
111,110,273404,290139,11993,1854633,1868973,1588,78065
110,001,399784,398170,14074,1939833,1932855,3442,77966
101,011,334475,337974,10560,1794076,2021500,1681,78278
111,010,273722,399589,10774,1543620,2259894,1731,78118
111,100,272841,426899,9116,1446243,2375326,1491,77927
100,011,399403,399080,10797,1938228,1936116,2276,77998
010,111,400187,273075,10592,2261980,1540690,1630,78061
011,000,425785,273122,9147,2370937,1446742,1590,77894
101,010,284344,285929,14790,1855104,1867187,1873,78395
001,011,498968,250069,5183,2744068,1126446,639,78381
010,100,335209,339686,10641,1799666,2031722,1702,78606
110,111,289872,273736,11904,1867759,1852394,1531,78044
000,000,273554,0,106,3231430,0,106,77857
101,100,400961,400556,10725,1945507,1943409,2209,78283
101,111,355036,226860,9564,2286561,1451730,1230,78231
001,100,150715,465597,2944,574600,3167335,41,77869
111,001,202487,496202,1865,936264,2885283,232,77963
110,110,494887,0,0,3672579,0,0,77666
101,001,300227,495879,7333,1263221,2598845,1085,77759
001,111,496025,202081,1905,2882190,932247,208,77799
111,000,274501,274402,27459,1850286,1848980,2323,78359
000,101,273654,400848,10786,1541446,2269683,1661,78272
001,010,441138,229378,6472,2655718,1150466,1022,78080
100,001,466799,151734,2961,3173648,579319,46,78101
000,111,272864,272681,27101,1832972,1837128,2168,77714
010,001,229806,440432,6376,1152073,2647845,985,77927
001,001,498311,0,0,3697646,0,0,78189
110,100,496816,248103,5042,2730211,1117417,597,77908
011,001,248507,499019,5111,1118829,2743966,637,78198
100,000,502400,66265,295,3558358,198795,0,78783
010,101,283370,282673,14574,1847691,1843557,1849,77778
101,000,401532,274716,10917,2271785,1546603,1672,78436
011,110,467684,151506,3055,3181935,578344,44,78251
000,100,65890,496533,316,197670,3517738,1,77898
011,101,337967,333689,10451,2020686,1789975,1695,78166
100,101,400077,398012,10399,1939447,1929400,2203,77889
