p1_seq,p2_seq,p1_tricks,p2_tricks,draws_tricks,p1_cards,p2_cards,draws_cards,runs
000,001,14617,15677,488,105490,109404,159,3572
000,010,13134,17776,417,91996,122643,109,3572
000,011,14646,20146,443,91474,126109,171,3572
000,100,7601,22731,134,46646,164660,101,3572
000,101,14697,19456,496,92390,124136,167,3572
000,110,12182,22609,187,73336,143917,104,3572
000,111,14598,14656,1115,104915,105123,228,3572
001,000,15632,14765,532,109232,104917,139,3572
001,010,20747,13788,343,135779,85230,147,3572
001,011,22701,14354,383,138353,84206,178,3572
001,100,10874,21727,658,64461,153934,460,3572
001,101,22921,16019,355,135230,89324,128,3572
001,110,19543,19346,727,111822,111479,293,3572
001,111,22682,12311,215,143826,75065,104,3572
010,000,18037,13019,442,124577,91547,121,3572
010,001,13605,20926,374,85968,137478,161,3572
010,011,19518,19405,477,113031,111100,167,3572
010,100,17114,17232,514,104244,114350,165,3572
010,101,15439,15283,647,107707,108605,203,3572
010,110,15952,22775,396,86901,135577,141,3572
010,111,19268,14731,487,121881,95323,144,3572
011,000,20376,14530,444,127443,89850,149,3572
011,001,14253,22767,360,84415,138985,174,3572
011,010,19393,19460,431,111726,113667,168,3572
011,100,19507,19298,532,111018,111102,214,3571
011,101,17271,17189,505,113412,107546,165,3571
011,110,21702,10946,669,154380,65312,465,3571
011,111,22630,7583,127,165510,48742,99,3571
100,000,22730,7500,128,165980,46592,89,3571
100,001,21773,10939,700,154238,65617,473,3571
100,010,17179,17017,515,114019,104984,159,3571
100,011,19359,19529,551,111907,112149,244,3571
100,101,19563,19105,496,112320,109126,165,3571
100,110,14249,22729,405,82856,137999,185,3571
100,111,20454,14695,441,126963,92964,171,3571
101,000,19402,14595,491,121884,94383,169,3571
101,001,15777,22678,385,88826,134880,139,3571
101,010,15415,15503,662,108613,108285,187,3571
101,011,16973,17293,492,103644,113226,179,3571
101,100,19535,19398,452,112390,111485,165,3571
101,110,13585,20797,343,85071,135314,146,3571
101,111,17859,12992,450,122926,90567,127,3571
110,000,22657,12180,219,144541,71874,113,3571
110,001,19417,19347,628,112439,111549,262,3571
110,010,22754,15959,356,134067,88564,120,3571
110,011,10768,21658,640,63346,152668,420,3571
110,100,22896,14280,372,139765,82872,172,3571
110,101,20873,13480,362,137406,84534,143,3571
110,111,15495,14709,526,108151,106764,134,3571
111,000,14649,14627,1128,104205,104914,236,3571
111,001,12225,22895,192,75281,144388,115,3571
111,010,14543,19498,489,93819,122793,176,3571
111,011,7383,22870,115,47721,166514,89,3571
111,100,14784,20151,464,92819,125980,147,3571
111,101,12905,17933,405,91139,124063,119,3571
111,110,14643,15469,537,104275,108211,149,3571
