p1_seq,p2_seq,p1_tricks,p2_tricks,draws_tricks,p1_cards,p2_cards,draws_cards,runs
000,001,7453,7999,309,50770,51415,49,2143
000,010,6317,9693,261,40099,62112,27,2143
000,011,7531,11611,240,40252,64786,44,2143
000,100,1868,13651,10,5604,96321,0,2143
000,101,7579,11096,284,42429,61958,39,2143
000,110,5484,13590,50,25567,79427,1,2143
000,111,7542,7565,728,50666,50681,58,2143
001,000,7931,7573,339,51180,51134,35,2143
001,010,12112,6376,178,72546,31894,40,2143
001,011,13643,6887,149,74790,31025,21,2143
001,100,4162,12899,81,15702,87415,0,2143
001,101,13739,8211,194,71750,34776,29,2143
001,110,11054,10949,395,53485,52862,92,2143
001,111,13570,5600,60,78997,25895,2,2143
010,000,9778,6206,277,62713,39473,37,2143
010,001,6344,12152,168,31435,73107,33,2143
010,011,11089,10929,287,53501,52968,51,2143
010,100,9134,9264,316,48715,55646,57,2143
010,101,7753,7688,371,50690,50775,47,2143
010,110,8221,13645,211,34458,71896,34,2143
010,111,10942,7509,299,61838,42558,43,2143
011,000,11649,7469,252,65365,39645,37,2143
011,001,6896,13657,140,31066,74833,19,2143
011,010,10906,10957,257,53271,53197,66,2143
011,100,11042,10924,284,53400,52996,55,2143
011,101,9239,9167,301,54913,49441,42,2143
011,110,12803,4220,74,87292,15967,1,2143
011,111,13578,1802,8,96708,5406,0,2143
100,000,13648,1772,14,96754,5316,0,2143
100,001,12831,4192,106,86869,16052,2,2143
100,010,9174,9158,301,54847,49459,39,2143
100,011,10967,11060,282,53115,53601,61,2143
100,101,11134,10793,305,54304,52139,57,2143
100,110,6882,13609,175,30807,75026,17,2143
100,111,11762,7572,256,65444,39783,49,2143
101,000,10999,7532,297,61928,42657,55,2143
101,001,8193,13586,215,34676,71575,36,2143
101,010,7736,7846,400,50916,50720,41,2143
101,011,9023,9393,277,47881,56331,42,2143
101,100,11039,10996,286,53531,53022,61,2143
101,110,6367,12050,173,32279,72197,25,2143
101,111,9765,6211,278,63024,39262,29,2143
110,000,13554,5565,76,79045,25760,8,2143
110,001,10945,10944,380,53308,53138,106,2143
110,010,13642,8322,197,71522,34788,32,2143
110,011,4092,12865,82,15624,87500,1,2143
110,100,13709,6838,129,75234,30746,17,2143
110,101,12136,6259,185,73466,31164,23,2143
110,111,7843,7536,321,50741,51646,36,2142
111,000,7500,7457,748,50553,50510,63,2142
111,001,5548,13740,45,25576,79432,3,2142
111,010,7437,11025,296,41954,62115,60,2142
111,011,1761,13679,9,5283,96633,0,2142
111,100,7517,11615,275,39994,64935,38,2142
111,101,6154,9807,248,39615,62944,34,2142
111,110,7472,7866,333,51282,50806,33,2142
