p1_seq,p2_seq,p1_tricks,p2_tricks,draws_tricks,p1_cards,p2_cards,draws_cards,runs
000,001,3117,3419,82,85591,94792,3,536
000,010,3182,3477,51,87461,93202,2,536
000,011,3064,3403,68,83760,94223,3,536
000,100,3097,3449,64,85166,94985,2,536
000,101,3166,3402,66,87014,93151,2,536
000,110,3128,3366,94,87360,91899,4,536
000,111,3136,3098,128,86469,85737,5,536
001,000,3449,3055,67,94424,83306,2,536
001,010,3375,3456,79,92276,95301,3,536
001,011,3386,3435,133,93123,93920,3,536
001,100,3455,3444,325,94544,94432,0,536
001,101,3424,3432,69,93729,95599,2,536
001,110,3423,3402,113,94297,94128,2,536
001,111,3387,3203,93,93496,87634,0,536
010,000,3499,3154,51,97050,86558,1,536
010,001,3406,3417,85,94054,94108,2,536
010,011,3390,3413,72,93107,93397,4,536
010,100,3340,3389,85,93085,92820,1,536
010,101,3405,3386,108,94342,92910,2,536
010,110,3400,3406,67,92355,94145,1,536
010,111,3391,3159,82,92564,88007,3,536
011,000,3417,3106,81,94713,85620,1,536
011,001,3448,3409,121,95248,93834,3,536
011,010,3389,3407,71,92803,94258,1,536
011,100,3418,3430,113,93508,95062,3,536
011,101,3430,3397,81,94301,92346,2,536
011,110,3446,3452,338,94264,94413,0,536
011,111,3377,3128,84,92523,85490,2,536
100,000,3402,3210,71,94077,87091,1,536
100,001,3413,3407,326,94265,93925,0,536
100,010,3421,3452,95,93219,94108,1,536
100,011,3467,3442,102,95340,94603,3,536
100,101,3450,3320,67,94128,91745,0,536
100,110,3408,3401,113,93980,94462,4,536
100,111,3415,3253,76,93826,90853,0,536
101,000,3407,3170,82,93402,88176,2,536
101,001,3402,3413,73,93770,93859,1,536
101,010,3380,3409,130,93026,93630,2,536
101,011,3452,3411,85,94996,93139,7,536
101,100,3484,3381,80,95663,93285,0,536
101,110,3497,3406,69,96109,94043,1,535
101,111,3459,3125,65,93610,83950,1,535
110,000,3372,3130,83,91822,87115,1,535
110,001,3414,3380,120,93231,93775,1,535
110,010,3400,3389,74,92633,93104,3,535
110,011,3423,3432,312,93961,94720,0,535
110,100,3442,3445,104,94289,96350,1,535
110,101,3399,3372,80,94662,93069,6,535
110,111,3412,3147,62,93750,86609,1,535
111,000,3150,3179,135,86314,87723,5,535
111,001,3117,3478,78,86063,95955,2,535
111,010,3069,3503,81,82887,96487,0,535
111,011,3164,3404,66,89588,93958,4,535
111,100,3141,3367,87,87184,91789,4,535
111,101,3140,3423,42,87065,95326,2,535
111,110,3096,3375,78,85181,93565,3,535
